2023-12-04-17-24-04_activity-import-format-1-xls, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-160. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-161. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-162. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-163. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-164. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-165. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-166. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-167. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-168. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-169. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-170. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-171. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-172. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-174. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-175. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-176. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-177. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-178. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-179. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
