Table - hotelCategoryMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - hotelCombo truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - hoteloperationRestriction truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - houseKeepingMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - hrmsDocumentMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - hrmsfileMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - imageGallery truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - inboundmealplanmaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - InboundQuotationSorting truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - incomingQueryMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - industryMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - invoice truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - invoiceMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - InvoiceRatelist truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itineraryDescriptionMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itineraryExtraMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itineraryFlightDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itineraryHotelMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itineraryMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itinerarySightseengMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itineraryTimeline truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - itineraryTransferMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - iti_subjectmaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - landpackagecostMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - languageListMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - languageMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - leadsMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
